Date,Open,High,Low,Close,Adj Close,Volume
2017-10-27,212.020004,212.699997,210.399994,211.899994,201.995270,801400
2017-10-30,213.919998,214.500000,211.610001,213.000000,203.043854,1082400
2017-10-31,214.250000,219.289993,214.000000,219.089996,208.849213,1727300
2017-11-01,219.369995,219.559998,215.860001,216.000000,205.903641,1152700
2017-11-02,215.529999,216.440002,213.570007,214.320007,204.302170,1043300
2017-11-03,214.520004,216.809998,214.520004,215.910004,205.817856,853200
2017-11-06,215.759995,216.729996,215.050003,215.800003,206.209625,789600
2017-11-07,215.940002,216.509995,214.820007,215.479996,205.903824,1556200
2017-11-08,215.990005,217.889999,215.309998,217.630005,207.958298,1757500
2017-11-09,217.500000,218.419998,216.529999,218.130005,208.436081,616300
2017-11-10,218.500000,219.000000,217.809998,218.669998,208.952103,672100
2017-11-13,219.000000,221.500000,218.669998,220.759995,210.949188,885400
2017-11-14,220.789993,221.119995,217.619995,218.089996,208.397842,1064600
2017-11-15,219.330002,227.199997,215.789993,217.160004,207.509186,1254600
2017-11-16,218.529999,219.259995,217.179993,217.339996,207.681152,1233800
2017-11-17,217.179993,217.250000,215.270004,216.289993,206.677811,880400
2017-11-20,216.800003,217.860001,216.350006,217.580002,207.910492,1108000
2017-11-21,217.830002,220.320007,217.550003,219.759995,209.993622,860800
2017-11-22,219.949997,220.690002,218.070007,220.449997,210.652954,616600
2017-11-24,220.929993,221.880005,219.960007,221.880005,212.019409,303000
2017-11-27,221.809998,221.990005,219.750000,220.119995,210.337631,812000
2017-11-28,220.190002,221.110001,218.809998,220.020004,210.242081,1117900
2017-11-29,220.490005,221.089996,212.669998,214.360001,204.833588,1560100
2017-11-30,214.369995,217.899994,213.080002,217.589996,207.920044,1542100
2017-12-01,217.660004,218.770004,215.850006,218.600006,208.885178,1082200
2017-12-04,219.190002,219.490005,214.330002,216.339996,206.725616,1699300
2017-12-05,216.350006,217.919998,215.830002,216.820007,207.184280,1123600
2017-12-06,217.330002,218.869995,216.740005,216.929993,207.289383,964200
2017-12-07,217.289993,218.389999,216.619995,216.850006,207.212967,886300
2017-12-08,217.320007,218.020004,216.869995,217.979996,208.292740,1342600
2017-12-11,219.699997,219.860001,215.940002,219.369995,209.620956,1357100
2017-12-12,220.119995,223.460007,218.380005,220.009995,210.232513,1693800
2017-12-13,219.830002,220.830002,217.960007,218.580002,208.866043,1104800
2017-12-14,219.229996,224.380005,219.009995,222.750000,212.850769,1319800
